,gk,jenis,daerah,Cluster
216,113696.00000000001,NONMAKANAN,PERDESAAN,4
217,117206.00000000001,NONMAKANAN,PERDESAAN,4
218,120138.0,NONMAKANAN,PERDESAAN,4
219,120623.0,NONMAKANAN,PERDESAAN,4
220,79842.0,NONMAKANAN,PERDESAANPERKOTAAN,4
221,84935.0,NONMAKANAN,PERDESAANPERKOTAAN,4
222,87743.0,NONMAKANAN,PERDESAANPERKOTAAN,4
223,93173.0,NONMAKANAN,PERDESAANPERKOTAAN,4
224,97102.0,NONMAKANAN,PERKOTAAN,0
225,101729.0,NONMAKANAN,PERKOTAAN,0
226,104865.0,NONMAKANAN,PERKOTAAN,0
227,107932.0,NONMAKANAN,PERKOTAAN,0
228,129320.99999999999,NONMAKANAN,PERDESAAN,4
229,139706.0,NONMAKANAN,PERDESAAN,4
230,141299.0,NONMAKANAN,PERDESAAN,4
231,141850.0,NONMAKANAN,PERDESAAN,4
232,97785.0,NONMAKANAN,PERDESAANPERKOTAAN,4
233,103166.00000000001,NONMAKANAN,PERDESAANPERKOTAAN,4
234,108061.0,NONMAKANAN,PERDESAANPERKOTAAN,4
235,108091.0,NONMAKANAN,PERDESAANPERKOTAAN,4
236,114906.99999999999,NONMAKANAN,PERKOTAAN,0
237,123015.00000000001,NONMAKANAN,PERKOTAAN,0
238,126114.00000000001,NONMAKANAN,PERKOTAAN,0
239,126618.99999999999,NONMAKANAN,PERKOTAAN,0
240,145089.0,NONMAKANAN,PERDESAAN,4
241,147124.0,NONMAKANAN,PERDESAAN,4
242,151633.0,NONMAKANAN,PERDESAAN,4
243,157137.0,NONMAKANAN,PERDESAAN,4
244,112705.99999999999,NONMAKANAN,PERDESAANPERKOTAAN,4
245,114016.0,NONMAKANAN,PERDESAANPERKOTAAN,4
246,118883.00000000001,NONMAKANAN,PERDESAANPERKOTAAN,4
247,125685.0,NONMAKANAN,PERDESAANPERKOTAAN,4
248,130652.0,TOTAL,PERKOTAAN,5
249,132451.0,TOTAL,PERKOTAAN,5
250,137244.0,TOTAL,PERKOTAAN,5
251,143402.0,TOTAL,PERKOTAAN,5
252,307352.0,TOTAL,PERDESAAN,1
253,330517.0,TOTAL,PERDESAAN,1
254,338234.0,TOTAL,PERDESAAN,1
255,349372.0,TOTAL,PERDESAAN,1
256,263061.0,TOTAL,PERKOTAAN,5
257,292186.0,TOTAL,PERKOTAAN,5
258,299145.0,TOTAL,PERKOTAAN,5
259,312493.0,TOTAL,PERKOTAAN,5
264,364320.0,TOTAL,PERDESAANPERKOTAAN,1
265,379898.0,TOTAL,PERDESAANPERKOTAAN,1
266,398408.0,TOTAL,PERDESAANPERKOTAAN,1
267,413834.99999999994,TOTAL,PERDESAANPERKOTAAN,1
268,331895.0,TOTAL,PERKOTAAN,5
269,352637.0,TOTAL,PERKOTAAN,5
270,377748.0,TOTAL,PERKOTAAN,5
271,388707.0,TOTAL,PERKOTAAN,5
272,347953.0,TOTAL,PERDESAAN,1
273,366138.0,TOTAL,PERDESAAN,1
274,388156.0,TOTAL,PERDESAAN,1
275,401832.0,TOTAL,PERDESAAN,1
276,425693.00000000006,TOTAL,PERDESAANPERKOTAAN,1
277,438894.00000000006,TOTAL,PERDESAANPERKOTAAN,1
278,448362.99999999994,TOTAL,PERDESAANPERKOTAAN,1
279,465790.0,TOTAL,PERDESAANPERKOTAAN,1
280,396033.0,TOTAL,PERKOTAAN,5
281,407157.0,TOTAL,PERKOTAAN,5
282,421585.99999999994,TOTAL,PERKOTAAN,5
283,435492.0,TOTAL,PERKOTAAN,5
284,411345.0,TOTAL,PERDESAAN,1
285,423696.00000000006,TOTAL,PERDESAAN,1
286,435970.0,TOTAL,PERDESAAN,1
287,451672.99999999994,TOTAL,PERDESAAN,1
288,483667.0,TOTAL,PERDESAANPERKOTAAN,1
289,506538.0,TOTAL,PERDESAANPERKOTAAN,1
290,518218.0,TOTAL,PERDESAANPERKOTAAN,1
291,520529.0,TOTAL,PERDESAANPERKOTAAN,1
292,445815.0,TOTAL,PERKOTAAN,5
293,470545.0,TOTAL,PERKOTAAN,5
294,484717.0,TOTAL,PERKOTAAN,5
295,486642.0,TOTAL,PERKOTAAN,5
296,466122.0,TOTAL,PERDESAAN,1
297,490120.0,TOTAL,PERDESAAN,1
298,502904.0,TOTAL,PERDESAAN,1
299,505236.0,TOTAL,PERDESAAN,1
300,543085.0,TOTAL,PERDESAANPERKOTAAN,1
301,556437.0,TOTAL,PERDESAANPERKOTAAN,1
302,583221.0,TOTAL,PERDESAANPERKOTAAN,1
303,615227.0,TOTAL,PERDESAANPERKOTAAN,1
304,504685.0,MAKANAN,PERKOTAAN,2
305,513987.0,MAKANAN,PERKOTAAN,2
306,534184.0,MAKANAN,PERKOTAAN,2
307,563783.0,MAKANAN,PERKOTAAN,2
308,525756.0,MAKANAN,PERDESAAN,3
309,537311.0,MAKANAN,PERDESAAN,3
310,561004.0,MAKANAN,PERDESAAN,3
311,592025.0,MAKANAN,PERDESAAN,3
312,288410.0,MAKANAN,PERDESAANPERKOTAAN,3
313,301356.0,MAKANAN,PERDESAANPERKOTAAN,3
314,312154.0,MAKANAN,PERDESAANPERKOTAAN,3
315,322168.0,MAKANAN,PERDESAANPERKOTAAN,3
316,293768.0,MAKANAN,PERKOTAAN,2
317,313294.0,MAKANAN,PERKOTAAN,2
318,332415.0,MAKANAN,PERKOTAAN,2
319,341816.0,MAKANAN,PERKOTAAN,2
320,291641.0,MAKANAN,PERDESAAN,3
321,308554.0,MAKANAN,PERDESAAN,3
322,326993.0,MAKANAN,PERDESAAN,3
323,334358.0,MAKANAN,PERDESAAN,3
324,337132.0,MAKANAN,PERDESAANPERKOTAAN,3
325,339340.0,MAKANAN,PERDESAANPERKOTAAN,3
326,356907.0,MAKANAN,PERDESAANPERKOTAAN,3
327,367319.0,MAKANAN,PERDESAANPERKOTAAN,3
328,352878.0,MAKANAN,PERKOTAAN,2
329,354771.0,MAKANAN,PERKOTAAN,2
330,369087.0,MAKANAN,PERKOTAAN,2
331,370529.0,MAKANAN,PERKOTAAN,2
332,346896.0,MAKANAN,PERDESAAN,3
333,348429.0,MAKANAN,PERDESAAN,3
334,364235.0,MAKANAN,PERDESAAN,3
335,369206.0,MAKANAN,PERDESAAN,3
336,382490.0,MAKANAN,PERDESAANPERKOTAAN,3
337,402124.0,MAKANAN,PERDESAANPERKOTAAN,3
338,411369.0,MAKANAN,PERDESAANPERKOTAAN,3
339,413073.0,MAKANAN,PERDESAANPERKOTAAN,3
340,382217.0,MAKANAN,PERKOTAAN,2
341,401904.0,MAKANAN,PERKOTAAN,2
342,415694.0,MAKANAN,PERKOTAAN,2
343,416419.0,MAKANAN,PERKOTAAN,2
344,382333.0,MAKANAN,PERDESAAN,3
345,402003.0,MAKANAN,PERDESAAN,3
346,413832.00000000006,MAKANAN,PERDESAAN,3
347,414948.99999999994,MAKANAN,PERDESAAN,3
348,424105.99999999994,MAKANAN,PERDESAANPERKOTAAN,3
349,431008.00000000006,MAKANAN,PERDESAANPERKOTAAN,3
350,453326.0,MAKANAN,PERDESAANPERKOTAAN,3
351,490322.0,MAKANAN,PERDESAANPERKOTAAN,3
352,438204.99999999994,NONMAKANAN,PERKOTAAN,0
353,444693.0,NONMAKANAN,PERKOTAAN,0
354,470942.0,NONMAKANAN,PERKOTAAN,0
355,500796.0,NONMAKANAN,PERKOTAAN,0
356,431644.0,NONMAKANAN,PERDESAAN,4
357,438307.99999999994,NONMAKANAN,PERDESAAN,4
358,462910.0,NONMAKANAN,PERDESAAN,4
359,495824.00000000006,NONMAKANAN,PERDESAAN,4
360,117924.99999999999,NONMAKANAN,PERDESAANPERKOTAAN,4
361,121983.99999999999,NONMAKANAN,PERDESAANPERKOTAAN,4
362,129369.0,NONMAKANAN,PERDESAANPERKOTAAN,4
363,132506.0,NONMAKANAN,PERDESAANPERKOTAAN,4
364,75985.0,NONMAKANAN,PERKOTAAN,0
365,77884.0,NONMAKANAN,PERKOTAAN,0
366,81375.0,NONMAKANAN,PERKOTAAN,0
367,83703.0,NONMAKANAN,PERKOTAAN,0
368,92637.0,NONMAKANAN,PERDESAAN,4
369,95393.0,NONMAKANAN,PERDESAAN,4
370,98148.0,NONMAKANAN,PERDESAAN,4
371,103716.99999999999,NONMAKANAN,PERDESAAN,4
372,135481.0,NONMAKANAN,PERDESAANPERKOTAAN,4
373,136026.0,NONMAKANAN,PERDESAANPERKOTAAN,4
374,139235.0,NONMAKANAN,PERDESAANPERKOTAAN,4
375,140237.0,NONMAKANAN,PERDESAANPERKOTAAN,4
376,86342.0,NONMAKANAN,PERKOTAAN,0
377,86644.0,NONMAKANAN,PERKOTAAN,0
378,91162.0,NONMAKANAN,PERKOTAAN,0
379,95901.0,NONMAKANAN,PERKOTAAN,0
380,106715.0,NONMAKANAN,PERDESAAN,4
381,107368.00000000001,NONMAKANAN,PERDESAAN,4
382,112318.99999999999,NONMAKANAN,PERDESAAN,4
383,116426.0,NONMAKANAN,PERDESAAN,4
384,143519.0,NONMAKANAN,PERDESAANPERKOTAAN,4
385,149242.0,NONMAKANAN,PERDESAANPERKOTAAN,4
386,151198.0,NONMAKANAN,PERDESAANPERKOTAAN,4
387,152458.0,NONMAKANAN,PERDESAANPERKOTAAN,4
388,101721.99999999999,NONMAKANAN,PERKOTAAN,0
389,108553.0,NONMAKANAN,PERKOTAAN,0
390,112136.00000000001,NONMAKANAN,PERKOTAAN,0
391,113254.0,NONMAKANAN,PERKOTAAN,0
392,121318.99999999999,NONMAKANAN,PERDESAAN,4
393,127697.0,NONMAKANAN,PERDESAAN,4
394,130483.0,NONMAKANAN,PERDESAAN,4
395,132291.0,NONMAKANAN,PERDESAAN,4
396,156831.0,NONMAKANAN,PERDESAANPERKOTAAN,4
397,161294.0,NONMAKANAN,PERDESAANPERKOTAAN,4
398,169253.0,NONMAKANAN,PERDESAANPERKOTAAN,4
399,178321.0,NONMAKANAN,PERDESAANPERKOTAAN,4
400,117976.0,TOTAL,PERKOTAAN,5
401,121531.0,TOTAL,PERKOTAAN,5
402,127489.0,TOTAL,PERKOTAAN,5
403,138150.0,TOTAL,PERKOTAAN,5
404,137059.0,TOTAL,PERDESAAN,1
405,141237.0,TOTAL,PERDESAAN,1
406,148030.0,TOTAL,PERDESAAN,1
407,158370.0,TOTAL,PERDESAAN,1
408,332837.0,TOTAL,PERKOTAAN,5
409,360768.0,TOTAL,PERKOTAAN,5
410,374968.0,TOTAL,PERKOTAAN,5
411,390862.0,TOTAL,PERKOTAAN,5
412,288215.0,TOTAL,PERDESAAN,1
413,321252.0,TOTAL,PERDESAAN,1
414,333511.0,TOTAL,PERDESAAN,1
415,349824.0,TOTAL,PERDESAAN,1
420,406335.0,TOTAL,PERKOTAAN,5
421,423339.0,TOTAL,PERKOTAAN,5
422,441523.0,TOTAL,PERKOTAAN,5
423,454673.99999999994,TOTAL,PERKOTAAN,5
424,369753.0,TOTAL,PERDESAAN,1
425,391178.0,TOTAL,PERDESAAN,1
426,413790.0,TOTAL,PERDESAAN,1
427,425520.0,TOTAL,PERDESAAN,1
428,384278.0,TOTAL,PERDESAANPERKOTAAN,1
429,403947.0,TOTAL,PERDESAANPERKOTAAN,1
430,425141.00000000006,TOTAL,PERDESAANPERKOTAAN,1
431,438074.99999999994,TOTAL,PERDESAANPERKOTAAN,1
432,472614.0,TOTAL,PERKOTAAN,5
433,475365.0,TOTAL,PERKOTAAN,5
434,496142.0,TOTAL,PERKOTAAN,5
435,507557.0,TOTAL,PERKOTAAN,5
436,439220.0,TOTAL,PERDESAAN,1
437,441415.0,TOTAL,PERDESAAN,1
438,460249.0,TOTAL,PERDESAAN,1
439,466430.0,TOTAL,PERDESAAN,1
440,453611.00000000006,TOTAL,PERDESAANPERKOTAAN,1
441,455797.0,TOTAL,PERDESAANPERKOTAAN,1
442,476554.0,TOTAL,PERDESAANPERKOTAAN,1
443,485631.99999999994,TOTAL,PERDESAANPERKOTAAN,1
444,526008.0,TOTAL,PERKOTAAN,5
445,551366.0,TOTAL,PERKOTAAN,5
446,562567.0,TOTAL,PERKOTAAN,5
447,565531.0,TOTAL,PERKOTAAN,5
448,483938.99999999994,TOTAL,PERDESAAN,1
449,510457.0,TOTAL,PERDESAAN,1
450,527830.0,TOTAL,PERDESAAN,1
451,529673.0,TOTAL,PERDESAAN,1
452,503652.0,TOTAL,PERDESAANPERKOTAAN,1
453,529700.0,TOTAL,PERDESAANPERKOTAAN,1
454,544315.0,TOTAL,PERDESAANPERKOTAAN,1
455,547240.0,TOTAL,PERDESAANPERKOTAAN,1
456,580937.0,MAKANAN,PERKOTAAN,2
457,592302.0,MAKANAN,PERKOTAAN,2
458,622579.0,MAKANAN,PERKOTAAN,2
459,668643.0,MAKANAN,PERKOTAAN,2
460,556181.0,MAKANAN,PERDESAAN,3
461,566224.0,MAKANAN,PERDESAAN,3
462,598431.0,MAKANAN,PERDESAAN,3
463,638946.0,MAKANAN,PERDESAAN,3
464,568703.0,MAKANAN,PERDESAANPERKOTAAN,3
465,579545.0,MAKANAN,PERDESAANPERKOTAAN,3
466,610940.0,MAKANAN,PERDESAANPERKOTAAN,3
467,654194.0,MAKANAN,PERDESAANPERKOTAAN,3
468,280361.0,MAKANAN,PERKOTAAN,2
469,288956.0,MAKANAN,PERKOTAAN,2
470,292026.0,MAKANAN,PERKOTAAN,2
471,301570.0,MAKANAN,PERKOTAAN,2
472,302422.0,MAKANAN,PERDESAAN,3
473,318195.0,MAKANAN,PERDESAAN,3
474,326262.0,MAKANAN,PERDESAAN,3
475,333174.0,MAKANAN,PERDESAAN,3
476,293851.0,MAKANAN,PERDESAANPERKOTAAN,3
477,306835.0,MAKANAN,PERDESAANPERKOTAAN,3
478,312352.0,MAKANAN,PERDESAANPERKOTAAN,3
479,321762.0,MAKANAN,PERDESAANPERKOTAAN,3
480,318174.0,MAKANAN,PERKOTAAN,2
481,327480.0,MAKANAN,PERKOTAAN,2
482,342425.0,MAKANAN,PERKOTAAN,2
483,350004.0,MAKANAN,PERKOTAAN,2
484,346208.0,MAKANAN,PERDESAAN,3
485,350965.0,MAKANAN,PERDESAAN,3
486,357685.0,MAKANAN,PERDESAAN,3
487,358620.0,MAKANAN,PERDESAAN,3
488,335922.0,MAKANAN,PERDESAANPERKOTAAN,3
489,342348.0,MAKANAN,PERDESAANPERKOTAAN,3
490,351845.0,MAKANAN,PERDESAANPERKOTAAN,3
491,355411.0,MAKANAN,PERDESAANPERKOTAAN,3
492,361135.0,MAKANAN,PERKOTAAN,2
493,383444.0,MAKANAN,PERKOTAAN,2
494,400297.0,MAKANAN,PERKOTAAN,2
495,401965.0,MAKANAN,PERKOTAAN,2
496,368149.0,MAKANAN,PERDESAAN,3
497,381046.0,MAKANAN,PERDESAAN,3
498,394776.0,MAKANAN,PERDESAAN,3
499,396647.0,MAKANAN,PERDESAAN,3
500,365515.0,MAKANAN,PERDESAANPERKOTAAN,3
501,381904.0,MAKANAN,PERDESAANPERKOTAAN,3
502,396883.0,MAKANAN,PERDESAANPERKOTAAN,3
503,398654.0,MAKANAN,PERDESAANPERKOTAAN,3
504,419858.0,NONMAKANAN,PERKOTAAN,0
505,432553.99999999994,NONMAKANAN,PERKOTAAN,0
506,450681.0,NONMAKANAN,PERKOTAAN,0
507,486129.99999999994,NONMAKANAN,PERKOTAAN,0
508,409818.0,NONMAKANAN,PERDESAAN,4
509,423953.0,NONMAKANAN,PERDESAAN,4
510,435905.0,NONMAKANAN,PERDESAAN,4
511,468911.0,NONMAKANAN,PERDESAAN,4
512,413593.0,NONMAKANAN,PERDESAANPERKOTAAN,4
513,427086.0,NONMAKANAN,PERDESAANPERKOTAAN,4
514,441535.0,NONMAKANAN,PERDESAANPERKOTAAN,4
515,475492.0,NONMAKANAN,PERDESAANPERKOTAAN,4
516,124441.0,NONMAKANAN,PERKOTAAN,0
517,128812.0,NONMAKANAN,PERKOTAAN,0
518,134320.0,NONMAKANAN,PERKOTAAN,0
519,137972.0,NONMAKANAN,PERKOTAAN,0
520,93237.0,NONMAKANAN,PERDESAAN,4
521,98585.0,NONMAKANAN,PERDESAAN,4
